siglas,anno,total_votos_resumen
PSOE,2008,11071649
PP,2008,10171828
OTROS,2008,1153768
UP,2008,962930
CIU,2008,774425
PNV,2008,303264
ERC,2008,296196
BNG,2008,209434
EH-BILDU,2008,79837
Cs,2008,45707
PP,2011,10838951
PSOE,2011,6975407
OTROS,2011,2551417
UP,2011,1649682
CIU,2011,1014277
PNV,2011,323591
ERC,2011,248973
BNG,2011,183245
MP,2011,132509
PP,2015,7114123
UP,2015,5629623
PSOE,2015,5530428
Cs,2015,3500063
OTROS,2015,1304419
ERC,2015,599375
CIU,2015,565742
PNV,2015,301590
EH-BILDU,2015,218453
BNG,2015,70465
VOX,2015,57691
MP,2015,3856
PP,2016,7800328
PSOE,2016,5424130
UP,2016,4707199
Cs,2016,3123436
OTROS,2016,1025863
ERC,2016,629269
CIU,2016,481663
PNV,2016,286187
EH-BILDU,2016,184074
VOX,2016,46714
BNG,2016,44902
MP,2016,636
PSOE,2019,13709065
PP,2019,9378336
UP,2019,6828792
VOX,2019,6317199
Cs,2019,5774126
OTROS,2019,3596809
ERC,2019,1885378
PNV,2019,772183
MP,2019,729072
EH-BILDU,2019,535383
BNG,2019,213410
